component	state	authority
Unified 3-camera DT/modules	PASS	E004dv
IR CSIPHY0 Windows receiver	PASS 96/96	E004dp
Rear RGB under 3-camera authority	PASS	E004dr
Front RGB under 3-camera authority	PASS	E004ds
Canonical package lifecycle	PASS	E004dw/E004dx/E004dy
Canonical package rear→front activation	PASS	E004dz
Protected provider/backing/FastRPC mechanics	PASS / fail-closed	E004cz/E004da/E004db
Windows-exact SecurePD worker source	PASS offline	E004ea
SecurePD production worker admission	BLOCKED external trust authority	E004de/E004df
Protected IR / Windows Hello end-to-end	BLOCKED by worker admission	dependent
Front post-G3 changed native feedback	SCENE-GATED live proof	E004dt
